date,location,new_cases,new_deaths,new_recover,total_cases,total_deaths,total_recover,active_cases,icu,ventilator_support
2020-01-01,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-02,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-03,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-04,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-05,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-06,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-07,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-08,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-09,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-10,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-11,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-12,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-13,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-14,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-15,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-16,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-17,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-18,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-19,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-20,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-21,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-22,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-23,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-24,Malaysia,3,0,0,3,0,0,3,0,0
2020-01-25,Malaysia,1,0,0,4,0,0,4,0,0
2020-01-26,Malaysia,0,0,0,4,0,0,4,0,0
2020-01-27,Malaysia,0,0,0,4,0,0,4,0,0
2020-01-28,Malaysia,3,0,0,7,0,0,7,0,0
2020-01-29,Malaysia,0,0,0,7,0,0,7,0,0
2020-01-30,Malaysia,1,0,0,8,0,0,8,0,0
2020-01-31,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-01,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-02,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-03,Malaysia,0,0,1,8,0,1,7,0,0
2020-02-04,Malaysia,2,0,0,10,0,1,9,0,0
2020-02-05,Malaysia,2,0,0,12,0,1,11,0,0
2020-02-06,Malaysia,2,0,0,14,0,1,13,0,0
2020-02-07,Malaysia,1,0,1,15,0,2,13,0,0
2020-02-08,Malaysia,1,0,1,16,0,3,13,0,0
2020-02-09,Malaysia,2,0,0,18,0,3,15,0,0
2020-02-10,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-11,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-12,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-13,Malaysia,1,0,4,19,0,7,12,0,0
2020-02-14,Malaysia,2,0,0,21,0,7,14,0,0
2020-02-15,Malaysia,1,0,1,22,0,8,14,0,0
2020-02-16,Malaysia,0,0,1,22,0,9,13,0,0
2020-02-17,Malaysia,0,0,4,22,0,13,9,0,0
2020-02-18,Malaysia,0,0,4,22,0,17,5,0,0
2020-02-19,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-20,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-21,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-22,Malaysia,0,0,1,22,0,18,4,0,0
2020-02-23,Malaysia,0,0,2,22,0,20,2,0,0
2020-02-24,Malaysia,0,0,0,22,0,20,2,0,0
2020-02-25,Malaysia,0,0,0,22,0,20,2,0,0
2020-02-26,Malaysia,0,0,2,22,0,22,0,0,0
2020-02-27,Malaysia,1,0,0,23,0,22,1,0,0
2020-02-28,Malaysia,2,0,0,25,0,22,3,0,0
2020-02-29,Malaysia,0,0,0,25,0,22,3,0,0
2020-03-01,Malaysia,4,0,0,29,0,22,7,0,0
2020-03-02,Malaysia,0,0,0,29,0,22,7,0,0
2020-03-03,Malaysia,7,0,0,36,0,22,14,0,0
2020-03-04,Malaysia,14,0,0,50,0,22,28,0,0
2020-03-05,Malaysia,0,0,0,50,0,22,28,0,0
2020-03-06,Malaysia,33,0,1,83,0,23,60,0,0
2020-03-07,Malaysia,10,0,0,93,0,23,70,0,0
2020-03-08,Malaysia,6,0,1,99,0,24,75,0,0
2020-03-09,Malaysia,18,0,0,117,0,24,93,0,0
2020-03-10,Malaysia,12,0,1,129,0,25,104,0,0
2020-03-11,Malaysia,20,0,1,149,0,26,123,2,2
2020-03-12,Malaysia,9,0,6,158,0,32,126,3,3
2020-03-13,Malaysia,39,0,1,197,0,33,164,4,4
2020-03-14,Malaysia,41,0,2,238,0,35,203,5,5
2020-03-15,Malaysia,190,0,7,428,0,42,386,9,9
2020-03-16,Malaysia,125,0,0,553,0,42,511,12,12
2020-03-17,Malaysia,120,2,7,673,2,49,622,12,12
2020-03-18,Malaysia,117,0,11,790,2,60,728,15,15
2020-03-19,Malaysia,110,0,15,900,2,75,823,20,20
2020-03-20,Malaysia,130,0,12,1030,2,87,941,26,26
2020-03-21,Malaysia,153,2,27,1183,4,114,1065,37,23
2020-03-22,Malaysia,123,6,25,1306,10,139,1157,46,22
2020-03-23,Malaysia,212,4,20,1518,14,159,1345,57,27
