date,state,total_cases,total_deaths
13/3/2020,PERLIS,1,0
13/3/2020,KEDAH,5,0
13/3/2020,PULAU PINANG,7,0
13/3/2020,PERAK,2,0
13/3/2020,SELANGOR,105,0
13/3/2020,NEGERI SEMBILAN,11,0
13/3/2020,MELAKA,1,0
13/3/2020,JOHOR,16,0
13/3/2020,PAHANG,2,0
13/3/2020,TERENGGANU,NA,0
13/3/2020,KELANTAN,3,0
13/3/2020,SABAH,15,0
13/3/2020,SARAWAK,NA,0
13/3/2020,WP KUALA LUMPUR,26,0
13/3/2020,WP PUTRAJAYA,1,0
13/3/2020,WP LABUAN,2,0
14/3/2020,PERLIS,NA,0
14/3/2020,KEDAH,NA,0
14/3/2020,PULAU PINANG,NA,0
14/3/2020,PERAK,NA,0
14/3/2020,SELANGOR,NA,0
14/3/2020,NEGERI SEMBILAN,NA,0
14/3/2020,MELAKA,NA,0
14/3/2020,JOHOR,NA,0
14/3/2020,PAHANG,NA,0
14/3/2020,TERENGGANU,NA,0
14/3/2020,KELANTAN,NA,0
14/3/2020,SABAH,NA,0
14/3/2020,SARAWAK,NA,0
14/3/2020,WP KUALA LUMPUR,NA,0
14/3/2020,WP PUTRAJAYA,NA,0
14/3/2020,WP LABUAN,NA,0
15/3/2020,PERLIS,NA,0
15/3/2020,KEDAH,NA,0
15/3/2020,PULAU PINANG,NA,0
15/3/2020,PERAK,NA,0
15/3/2020,SELANGOR,NA,0
15/3/2020,NEGERI SEMBILAN,NA,0
15/3/2020,MELAKA,NA,0
15/3/2020,JOHOR,NA,0
15/3/2020,PAHANG,NA,0
15/3/2020,TERENGGANU,NA,0
15/3/2020,KELANTAN,NA,0
15/3/2020,SABAH,NA,0
15/3/2020,SARAWAK,NA,0
15/3/2020,WP KUALA LUMPUR,NA,0
15/3/2020,WP PUTRAJAYA,NA,0
15/3/2020,WP LABUAN,NA,0
16/3/2020,PERLIS,8,0
16/3/2020,KEDAH,31,0
16/3/2020,PULAU PINANG,15,0
16/3/2020,PERAK,18,0
16/3/2020,SELANGOR,144,0
16/3/2020,NEGERI SEMBILAN,42,0
16/3/2020,MELAKA,14,0
16/3/2020,JOHOR,52,0
16/3/2020,PAHANG,19,0
16/3/2020,TERENGGANU,4,0
16/3/2020,KELANTAN,18,0
16/3/2020,SABAH,57,0
16/3/2020,SARAWAK,21,0
16/3/2020,WP KUALA LUMPUR,106,0
16/3/2020,WP PUTRAJAYA,NA,0
16/3/2020,WP LABUAN,4,0
17/3/2020,PERLIS,8,0
17/3/2020,KEDAH,31,0
17/3/2020,PULAU PINANG,23,0
17/3/2020,PERAK,23,0
17/3/2020,SELANGOR,161,0
17/3/2020,NEGERI SEMBILAN,45,0
17/3/2020,MELAKA,17,0
17/3/2020,JOHOR,77,1
17/3/2020,PAHANG,28,0
17/3/2020,TERENGGANU,7,0
17/3/2020,KELANTAN,25,0
17/3/2020,SABAH,82,0
17/3/2020,SARAWAK,29,1
17/3/2020,WP KUALA LUMPUR,113,0
17/3/2020,WP PUTRAJAYA,NA,0
17/3/2020,WP LABUAN,4,0
18/3/2020,PERLIS,8,0
18/3/2020,KEDAH,36,0
18/3/2020,PULAU PINANG,30,0
18/3/2020,PERAK,28,0
18/3/2020,SELANGOR,192,0
18/3/2020,NEGERI SEMBILAN,45,0
18/3/2020,MELAKA,18,0
18/3/2020,JOHOR,88,1
18/3/2020,PAHANG,29,0
18/3/2020,TERENGGANU,10,0
18/3/2020,KELANTAN,30,0
18/3/2020,SABAH,103,0
18/3/2020,SARAWAK,49,1
18/3/2020,WP KUALA LUMPUR,119,0
18/3/2020,WP PUTRAJAYA,NA,0
18/3/2020,WP LABUAN,5,0
19/3/2020,PERLIS,9,0
19/3/2020,KEDAH,40,0
19/3/2020,PULAU PINANG,32,0
19/3/2020,PERAK,35,0
19/3/2020,SELANGOR,223,0
