Year,Consumer Price Index,Weighted Average Lending Rate,Exchange Rate (USD),Unemployment Rate (%)
1/31/2015,110.6,5.4,3.5835,3.1
2/28/2015,109.9,5.5,3.5926,3.2
3/31/2015,110.9,5.5,3.6809,3
4/30/2015,111.9,5.5,3.6356,3
5/31/2015,112.3,5.5,3.6036,3.1
6/30/2015,113,5.4,3.7391,3.2
7/31/2015,113.9,5.4,3.8011,3.2
8/31/2015,113.9,5.4,4.0601,3.2
9/30/2015,113.6,5.4,4.3117,3.35
10/31/2015,114.1,5.4,4.2681,3.35
11/30/2015,114.8,5.4,4.3086,3.2
12/31/2015,114.8,5.4,4.2811,3.4
1/31/2016,114.5,5.4,4.3481,3.4
2/29/2016,114.5,5.4,4.1859,3.4
3/31/2016,113.8,5.4,4.0768,3.5
4/30/2016,114.3,5.4,3.9045,3.5
5/31/2016,114.6,5.4,4.0482,3.4
6/30/2016,114.8,5.4,4.0871,3.4
7/31/2016,115.1,5.3,4.0195,3.5
8/31/2016,115.6,5.2,4.0269,3.5
9/30/2016,115.3,5.2,4.1087,3.5
10/31/2016,115.7,5.2,4.1776,3.5
11/30/2016,116.8,5.2,4.3349,3.44
12/31/2016,116.8,5.2,4.4615,3.5
1/31/2017,118.1,5.2,4.4596,3.5
2/28/2017,119.6,5.2,4.446,3.5
3/31/2017,119.4,5.2,4.4393,3.4
4/30/2017,119.2,5.2,4.4072,3.4
5/31/2017,119,5.2,4.3138,3.4
6/30/2017,118.7,5.2,4.2765,3.4
7/31/2017,118.7,5.2,4.2903,3.5
8/31/2017,119.8,5.2,4.2843,3.4
9/30/2017,120.1,5.2,4.2089,3.4
10/31/2017,120,5.2,4.2289,3.4
11/30/2017,120.8,5.2,4.1725,3.3
12/31/2017,120.9,5.2,4.078,3.3
1/31/2018,121.3,5.3,3.9578,3.4
2/28/2018,121.3,5.4,3.9123,3.3
3/31/2018,120.9,5.4,3.9031,3.3
4/30/2018,120.9,5.4,3.8862,3.3
5/31/2018,121.1,5.4,3.9637,3.3
6/30/2018,119.6,5.4,3.9999,3.4
7/31/2018,119.8,5.4,4.0493,3.4
8/31/2018,120,5.4,4.0917,3.4
9/30/2018,120.5,5.4,4.1396,3.3
10/31/2018,120.7,5.4,4.1584,3.3
11/30/2018,121,5.4,4.1867,3.3
12/31/2018,121.1,5.4,4.1729,3.3
1/31/2019,120.5,5.4,4.1161,3.3
2/28/2019,120.8,5.4,4.0746,3.3
3/31/2019,121.1,5.4,4.079,3.4
4/30/2019,121.1,5.4,4.114,3.4
5/31/2019,121.4,5.3,4.1709,3.3
6/30/2019,121.4,5.2,4.1617,3.3
7/31/2019,121.5,5.2,4.1244,3.3
8/31/2019,121.8,5.2,4.1881,3.3
9/30/2019,121.8,5.2,4.1855,3.3
10/31/2019,122,5.2,4.1879,3.2
11/30/2019,122.1,5.2,4.159,3.2
12/31/2019,122.3,5.2,4.1485,3.3
1/31/2020,122.4,5,4.0797,3.2
2/29/2020,122.4,5,4.1634,3.3
3/31/2020,120.9,4.8,4.2964,3.9
